小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
嘉绿名苑,468,47605,98.31,73.24,2018/3/12,2017/9/8,西湖,嘉绿
杭州新天地,210,40667,51.64,46.04,2018/5/11,2018/5/7,下城,三塘
南江商业中心,118,18154,65,暂无数,2018/5/20,2017/3/29,萧山,南部卧城
米市新村,280,40775,68.67,59.7,2018/5/24,2012/11/27,拱墅,湖墅
梅苑阁小区,730,53285,137,132,2018/6/21,2012/6/5,西湖,文教
中旅紫金名门,360,41547,86.65,暂无数,2018/6/28,2017/5/16,西湖,申花
康乐香港城,305,40441,75.42,暂无数,2018/7/13,2006/6/23,西湖,文三西路
文二新村,560,113178,49.48,46,2018/7/21,2000/8/25,西湖,学军
艮山福居,418,44000,95,暂无数,2018/7/24,2005/2/17,下城,流水苑
泰地北上新城,180,20402,88.23,暂无数,2018/9/7,2014/6/18,下城,石桥
东方商务会馆,125,27582,45.32,32.2,2018/9/7,2010/11/8,滨江,长河
盛德嘉苑,550,41224,133.42,111.94,2018/9/9,2005/12/12,拱墅,德胜
众安嘉润公馆,195,30233,64.5,暂无数,2018/9/9,2016/6/15,萧山,奥体
耀江文鼎苑,490,93103,52.63,38.2,2018/3/4,2010/8/27,西湖,申花
绿城蓝色钱江,235,43730,53.74,34.93,2018/4/25,2015/2/3,上城,南星
求是村,780,82523,94.52,79.06,2017/5/19,2010/5/28,西湖,黄龙
中兴公寓,310,39241,79,1,2017/6/7,2004/7/14,西湖,文三西路
上宁新村,650,72748,89.35,暂无数,2017/8/10,2000/6/24,西湖,文三
三里家园三区,350,41682,83.97,75.4,2017/9/3,2013/6/28,江干,三里亭
丁桥景园南苑,245,25695,95.35,暂无数,2017/9/11,2009/6/23,江干,丁桥
万科魅力之城,300,33708,89,69.41,2017/9/20,2013/5/15,江干,九堡
绿城西子郁金香岸,420,26349,159.4,132.29,2017/9/27,2009/8/28,萧山,闻堰
水星阁,475,38138,124.55,98.03,2017/10/20,2003/12/26,下城,体育场路
求智巷,640,85232,75.09,70,2017/10/20,1994/10/4,西湖,学军
朗诗国际街区,290,33011,87.85,87.85,2017/10/23,2011/12/6,下沙,沿江北
古荡新村西区,256,40000,64,60.59,2017/10/27,1999/11/22,西湖,古荡
康乐香港城,375,35222,106.47,96.19,2017/10/29,1999/6/14,西湖,文三西路
白金海岸,638,44522,143.3,116.48,2017/10/30,2007/1/9,滨江,长河
高教新村,385,51320,75.02,1,2017/11/7,1998/6/3,西湖,文一西路
三宝新村,368,36982,99.51,91.85,2017/11/11,1996/7/15,拱墅,信义坊
杭钢北苑,230,29375,78.3,暂无数,2017/11/12,1995/12/27,拱墅,半山
佳境天城境合苑,540,35485,152.18,152.18,2017/11/25,2008/2/21,萧山,钱江世纪城
朝晖九区,263,34214,76.87,69.1,2017/12/11,2000/3/29,下城,朝晖
三江花园,335,24980,134.11,123.94,2017/12/16,2003/6/18,萧山,闻堰
三里亭苑三区,230,38695,59.44,暂无数,2017/12/22,2008/6/16,江干,三里亭
丁桥兰苑,238,27089,87.86,暂无数,2017/12/24,2010/12/1,江干,丁桥
金都花园,360,37816,95.2,暂无数,2017/12/26,2007/8/24,西湖,文三西路
后珠美都雅苑,230,26128,88.03,71.92,2018/1/2,2007/11/25,江干,丁桥
金都华府,700,51818,135.09,暂无数,2018/1/10,2009/4/16,上城,雄镇楼
都市水乡水清苑,290,30649,94.62,86,2018/1/23,2013/6/6,拱墅,三墩
君悦丽景,445,31999,139.07,116.31,2018/1/28,2010/9/25,萧山,萧山新城区
世茂江滨花园碧景湾,580,21642,268,240,2018/2/7,2017/2/13,下沙,沿江南
金雅苑社区,380,30265,125.56,暂无数,2018/2/25,2008/12/8,江干,九堡
朝晖八区,355,42177,84.17,74.41,2018/2/26,2009/2/1,下城,朝晖
香樟公寓,565,43593,129.61,暂无数,2018/2/26,2001/12/21,西湖,文三西路
欣盛东方郡西区,520,58857,88.35,78.63,2018/2/27,2012/11/9,滨江,滨江区政府
蚕花园永兴坊,260,39460,65.89,58,2018/2/28,2003/9/6,拱墅,拱宸桥
小河佳苑,470,36968,127.14,99.7,2018/2/28,2007/4/5,拱墅,和睦
都市水乡水起苑,275,36223,75.92,暂无数,2018/3/1,2012/7/31,拱墅,三墩
亲亲家园四期,320,38583,82.94,69.31,2018/3/5,2008/7/8,余杭,三墩
三里新城桂苑,430,41643,103.26,93.67,2018/3/6,2005/2/17,江干,三里亭
亲亲家园二期,466,30478,152.9,121,2018/3/7,2007/8/10,余杭,三墩
三里家园三区,305,38530,79.16,61.33,2018/3/7,2009/3/9,江干,三里亭
天阳美林湾,330,39008,84.6,67.12,2018/3/8,2011/1/24,拱墅,申花
富丽苑,365,40947,89.14,81.58,2018/3/10,2013/3/29,西湖,嘉绿
永宁院,303,39906,75.93,1,2018/3/11,2010/3/2,上城,清泰
莫干山路599号,352,61668,57.08,暂无数,2018/3/12,2011/1/13,西湖,文教
新金都城市花园,698,50540,138.11,暂无数,2018/3/17,1999/3/5,西湖,文一西路
康乐香港城,310,38103,81.36,暂无数,2018/3/19,2003/9/16,西湖,文三西路
凯德视界,340,47942,70.92,55.64,2018/3/19,2010/5/10,拱墅,桥西
世茂江滨花园瑞景湾,265,29478,89.9,66.6,2018/3/24,2011/11/23,下沙,沿江南
美之园西区,380,27617,137.6,123.06,2018/3/26,2013/7/25,萧山,湘湖
求是村,456,72902,62.55,58.73,2018/3/27,2000/7/11,西湖,黄龙
育才东苑,195,33749,57.78,51.92,2018/3/27,2013/8/15,萧山,萧山市区
大营盘,410,43231,94.84,90,2018/3/31,2007/5/28,下城,体育场路
浦沿公寓,330,39286,84,69.32,2018/4/1,2010/10/24,滨江,浦沿
江南铭庭,305,34671,87.97,67.24,2018/4/5,2013/5/8,滨江,白马湖
世纪坊,485,48828,99.33,暂无数,2018/4/7,2001/6/7,上城,近江
白荡海人家,630,61023,103.24,92.2,2018/4/8,1999/3/19,西湖,文教
中尚橄榄树花园（南区）,252,20861,120.8,107.66,2018/4/12,2011/4/18,余杭,崇贤
外东山弄,589,71988,81.82,76.27,2018/4/12,2009/11/27,西湖,黄龙
亚洲城花园,330,40020,82.46,77.51,2018/4/13,2013/4/19,西湖,古荡
大关东七苑,230,39567,58.13,53.63,2018/4/18,2009/4/23,拱墅,大关
世茂江滨花园瑞景湾,265,29776,89,65.77,2018/4/19,2012/3/21,下沙,沿江南
横石板弄,260,27607,94.18,88.3,2018/4/20,2006/4/3,萧山,萧山市区
林之语,275,27931,98.46,80.21,2018/4/20,2011/9/20,萧山,钱江世纪城
古荡新村西区,285,41156,69.25,暂无数,2018/4/20,2003/4/21,西湖,古荡
都市水乡水映苑,300,30967,96.88,暂无数,2018/4/21,2005/4/14,拱墅,三墩
清水公寓,570,44918,126.9,暂无数,2018/4/22,2005/12/5,拱墅,德胜
大关西八苑,290,41246,70.31,暂无数,2018/4/22,2003/6/13,拱墅,大关
采荷小区紫藕邨,400,53434,74.86,68.89,2018/4/26,2003/10/17,江干,采荷
广宇西城年华,335,58783,56.99,40.51,2018/4/27,2009/3/27,西湖,申花
世茂江滨花园峻景湾,265,30087,88.08,66.38,2018/5/2,2012/10/31,下沙,沿江南
回澜北园,242,28769,84.12,78.75,2018/5/5,1994/2/23,萧山,萧山市区
金雅苑社区,275,31844,86.36,暂无数,2018/5/7,2011/5/3,江干,九堡
兰庭国际,765,59925,127.66,103.85,2018/5/11,2009/12/1,西湖,文教
左岸花园,360,39974,90.06,暂无数,2018/5/16,2005/12/21,拱墅,拱宸桥
天庐苑,240,45079,53.24,暂无数,2018/5/17,2008/1/18,江干,火车东站
顺发美哉美城,675,52168,129.39,101.57,2018/5/19,2017/10/24,萧山,钱江世纪城
半岛国际,485,56278,86.18,暂无数,2018/5/20,2012/3/21,滨江,长河
星洲花园格兰馨芦,530,61614,86.02,暂无数,2018/5/20,2008/12/24,西湖,文一西路
米市巷,200,38835,51.5,暂无数,2018/5/25,2003/2/13,拱墅,湖墅
钱江苑,660,52565,125.56,暂无数,2018/5/26,2006/12/1,上城,近江
现代名苑,738,50922,144.93,114.86,2018/5/28,2012/2/27,下城,和平
兰韵天城,400,38681,103.41,暂无数,2018/5/29,2008/5/21,西湖,三墩
高教新村,488,56811,85.9,暂无数,2018/5/29,2007/4/11,西湖,文一西路
邮电新村,310,78462,39.51,暂无数,2018/5/30,2009/4/8,西湖,学军
浦沿电化宿舍,240,42032,57.1,暂无数,2018/5/31,2013/2/4,滨江,浦沿
云厦连园,405,45945,88.15,73.11,2018/5/31,2011/6/21,滨江,西兴
广宇上东领地,260,32541,79.9,65.68,2018/6/1,2011/8/16,江干,丁桥
金成花园,435,49846,87.27,暂无数,2018/6/2,2008/11/4,西湖,文一西路
所巷,250,44836,55.76,暂无数,2018/6/2,1992/4/16,下城,建国北路
赞成香颂一期,220,24767,88.83,73.94,2018/6/3,2016/3/9,余杭,临平
檀香园,766,49978,153.27,118.9,2018/6/7,2009/7/16,上城,潮鸣
万科魅力之城,298,33484,89,70.88,2018/6/8,2013/3/19,江干,九堡
枫华府第,950,59468,159.75,120.92,2018/6/9,2009/6/10,西湖,翠苑
亚洲城花园,290,42048,68.97,63.84,2018/6/16,2010/4/22,西湖,古荡
孩儿巷,468,62450,74.94,69.61,2018/6/16,2011/9/27,下城,武林
江南铭庭,330,38102,86.61,66.94,2018/6/17,2013/6/28,滨江,白马湖
东冠逸家,228,25433,89.65,78.36,2018/6/20,2012/8/6,余杭,乔司
三塘竹园,278,39863,69.74,61,2018/6/21,2007/8/30,下城,三塘
名仕家园,615,53675,114.58,98.1,2018/6/21,2003/2/28,西湖,文一西路
星汇荣邸,350,39326,89,67.03,2018/6/21,2011/4/6,滨江,浦沿
坤和和家园,430,48704,88.29,暂无数,2018/6/22,2012/6/14,西湖,西溪
德胜新村南,253,40715,62.14,暂无数,2018/6/22,2006/4/26,下城,朝晖
万科魅力之城,290,32903,88.14,75.95,2018/6/22,2009/3/30,江干,九堡
伊萨卡国际城绮风园,335,26565,126.11,96.92,2018/6/22,2010/7/29,下沙,沿江北
施家花园,375,46109,81.33,暂无数,2018/6/23,2000/11/10,下城,流水苑
新星小区,240,31275,76.74,暂无数,2018/6/23,2002/12/27,西湖,三墩
景苑公寓,300,40962,73.24,暂无数,2018/6/24,2011/4/8,江干,景芳
弥陀寺路,390,55739,69.97,暂无数,2018/6/25,1995/10/9,西湖,黄龙
朝晖四区,220,41510,53,暂无数,2018/6/28,1998/5/6,下城,朝晖
星洲花园万黛兰居,650,61952,104.92,暂无数,2018/6/29,2009/9/20,西湖,文一西路
中兴公寓,355,44398,79.96,暂无数,2018/6/29,2013/1/30,西湖,文三西路
和新南苑,262,43156,60.71,47.19,2018/6/30,2011/4/6,拱墅,和睦
嘉绿西苑,410,48123,85.2,暂无数,2018/7/1,2002/9/11,西湖,嘉绿
温馨人家,478,52994,90.2,73.81,2018/7/1,2005/8/3,滨江,滨江区政府
金盛曼城,360,41629,86.48,71.59,2018/7/4,2011/11/2,滨江,浦沿
现代雅苑,460,50148,91.73,77.33,2018/7/5,2009/3/2,下城,和平
小河佳苑,285,38493,74.04,59.16,2018/7/7,2010/6/11,拱墅,和睦
大浒东苑,260,41734,62.3,50.23,2018/7/7,2015/2/25,拱墅,大关
太阳国际公寓,320,52016,61.52,48.81,2018/7/10,2010/6/3,滨江,彩虹城
江涛阁,445,35683,124.71,102.5,2018/7/10,2011/11/7,滨江,彩虹城
城北新村,185,32548,56.84,52.06,2018/7/12,1996/10/8,萧山,萧山市区
紫林公寓,450,58442,77,暂无数,2018/7/12,2008/4/15,西湖,文一西路
艮园社区,165,42548,38.78,暂无数,2018/7/13,2008/1/24,下城,建国北路
朝晖四区,285,44518,64.02,59.26,2018/7/14,2011/1/13,下城,朝晖
景芳四区,300,42729,70.21,暂无数,2018/7/15,2002/9/29,江干,景芳
华藏寺巷,359,44954,79.86,暂无数,2018/7/15,2018/6/4,上城,潮鸣
流水东苑,236,45978,51.33,暂无数,2018/7/17,2013/4/15,下城,流水苑
朝晖九区,320,42639,75.05,暂无数,2018/7/20,2006/7/19,下城,朝晖
竹海水韵,230,26033,88.35,72.93,2018/7/21,2014/9/9,余杭,闲林
伊萨卡国际城浩泽园,278,31090,89.42,67.51,2018/7/22,2011/11/23,下沙,沿江北
董家新村,190,39617,47.96,44.37,2018/7/23,2006/2/21,拱墅,信义坊
复地连城国际,195,26812,72.73,51.18,2018/7/30,2011/10/27,余杭,乔司
万科郡西澜山,480,34316,139.88,123.71,2018/7/31,2018/7/6,余杭,良渚
杭钢南苑,166,28885,57.47,暂无数,2018/8/2,2010/4/21,拱墅,半山
万科魅力之城,330,37940,86.98,72.01,2018/8/3,2009/9/30,江干,九堡
西荡苑桃苑,282,47483,59.39,52.59,2018/8/4,2010/3/30,西湖,文三西路
朗诗国际街区,245,30140,81.29,64.53,2018/8/8,2012/7/11,下沙,沿江北
丽阳苑,470,52685,89.21,71.47,2018/8/8,2010/10/12,西湖,申花
南岸晶都花园,490,36009,136.08,115.17,2018/8/8,2007/12/4,滨江,长河
凯丽晶座,142,24547,57.85,暂无数,2017/6/26,2016/2/9,萧山,萧山开发区
锦绣新村,298,38722,76.96,67.88,2017/10/14,2011/8/9,拱墅,湖墅
金田花园,520,36278,143.34,130,2017/11/26,2007/7/3,西湖,文三西路
保利湾天地,108,22979,47,34.64,2018/3/4,2014/1/9,下沙,沿江南
高教新村,405,54015,74.98,65.59,2018/4/28,2015/12/25,西湖,文一西路
云栖蝶谷,1350,57204,236,,2017/5/11,2006/7/24,西湖,之江
顺发和美家,510,57511,88.68,暂无数,2017/7/17,2016/9/10,萧山,钱江世纪城
通和戈雅公寓,500,26179,191,159,2017/9/29,2013/4/23,萧山,闻堰
宋都晨光国际,380,27537,138,103.5,2017/11/15,2015/1/30,下沙,沿江南
赞成岭上花苑,950,39801,238.69,,2017/11/17,2015/5/21,西湖,转塘
元成东盛家园,315,26250,120,1,2017/12/15,2016/8/12,下沙,工业园北
绿城蓝色钱江,1850,78060,237,182.82,2018/1/8,2015/2/27,上城,南星
西溪诚园致诚苑,1250,67281,185.79,136.56,2018/1/24,2016/2/3,西湖,西溪
亲亲家园三期,498,32541,153.04,暂无数,2018/3/11,2006/6/23,余杭,三墩
保利鹭沙郡府,980,38312,255.8,南 ,2018/3/22,2009/2/21,下沙,沿江南
彩虹城,1030,52737,195.31,153,2018/4/12,2014/4/24,滨江,彩虹城
温兴风情苑,479,33172,144.4,132.17,2018/4/14,2011/3/3,滨江,西兴
保利鹭沙郡府,820,38216,214.57,,2018/4/19,2016/2/1,下沙,沿江南
伊萨卡国际城绮风园,355,27820,127.61,102.07,2018/6/5,2014/11/14,下沙,沿江北
近江家园四园,280,61096,45.83,暂无数,2018/8/20,2006/6/16,上城,近江
翠苑三区,200,48627,41.13,暂无数,2018/8/26,2005/1/4,西湖,翠苑
绿洲吉家,335,43558,76.91,暂无数,2018/8/27,2007/11/12,下城,流水苑
文三新村,420,67601,62.13,暂无数,2018/4/13,2016/5/24,西湖,文三
东方商务会馆,135,32831,41.12,暂无数,2018/5/15,2012/4/13,滨江,长河
丽晶湾,500,41584,120.24,92.23,2018/7/1,2014/2/27,拱墅,申花
三塘桃园,270,38799,69.59,61.99,2018/7/22,2009/9/18,下城,三塘
世茂江滨商业中心,170,16832,101,暂无数,2018/7/25,2012/12/14,下沙,沿江南
世茂江滨商业中心,145,14357,101,暂无数,2018/8/22,2013/2/28,下沙,沿江南
小河佳苑,350,41221,84.91,暂无数,2018/8/23,2016/5/19,拱墅,和睦
钱江七苑,460,59741,77,暂无数,2018/8/24,2014/11/5,江干,钱江新城
世茂江滨商业中心,160,15842,101,68.97,2018/8/24,2015/9/18,下沙,沿江南
复兴北苑,315,45162,69.75,62.28,2018/8/24,2016/8/18,上城,复兴
豪波西溪润景,150,28302,53,暂无数,2018/8/26,2015/6/8,余杭,未来科技城
宝龙城市广场,96,21819,44,暂无数,2018/8/31,2018/8/13,下沙,高教园区东
嘉绿西苑,340,47847,71.06,63.91,2017/10/30,2015/1/21,西湖,嘉绿
金地自在城,430,48201,89.21,暂无数,2018/3/15,2014/8/18,西湖,三墩
都市港湾,95,18650,50.94,35.38,2018/4/6,2013/5/17,余杭,临平
金厦公寓,380,26888,141.33,140,2018/4/19,2007/8/15,西湖,三墩
信义坊,265,38580,68.69,暂无数,2018/4/25,2011/4/4,拱墅,信义坊
光复路小区,270,40529,66.62,59.96,2018/5/10,2015/11/25,上城,湖滨
春江花月,1150,57729,199.21,暂无数,2018/5/27,2006/1/25,上城,南星
闲林山水丹枫苑,173,32766,52.8,暂无数,2018/5/28,2010/6/30,余杭,闲林
凤凰南苑,323,54086,59.72,暂无数,2018/6/1,2016/6/4,上城,南星
嘉泰馨庭,190,50372,37.72,25.88,2018/6/6,2010/12/29,拱墅,桥西
钱塘景苑,570,41049,138.86,暂无数,2018/6/24,2008/4/24,滨江,彩虹城
石灰桥新村,325,72255,44.98,40,2018/7/7,2016/3/10,西湖,文教
树园,205,41331,49.6,43.44,2018/7/12,2009/11/19,下城,建国北路
六和源,920,39704,231.72,暂无数,2018/7/22,2005/6/7,上城,复兴
保利江语海,790,34930,226.17,182.76,2018/7/25,2013/9/23,下沙,高教园区东
水陆寺巷,220,44689,49.23,暂无数,2018/8/20,2016/6/1,下城,长庆
一清新村,400,44112,90.68,暂无数,2018/8/23,2007/12/12,拱墅,湖墅
保亿风景晨园,225,27396,82.13,62.06,2018/8/24,2016/7/20,余杭,乔司
蓝桥名苑,308,32559,94.6,暂无数,2018/8/24,2006/7/30,江干,九堡
宝善公寓,680,50960,133.44,暂无数,2018/8/25,2011/9/21,下城,建国北路
香樟公寓,550,41753,131.73,120.33,2018/8/27,2011/4/12,西湖,文三西路
锦绣新村,227,41882,54.2,40,2017/10/23,2003/7/3,拱墅,湖墅
天阳美林湾,320,35956,89,72.43,2018/2/23,2010/3/22,拱墅,申花
广景苑,650,50517,128.67,99.26,2017/1/10,2010/6/12,江干,景芳
小河东河下69号,600,82271,72.93,69.55,2017/5/31,2011/9/13,拱墅,桥西
景芳东区,470,38802,121.13,108.65,2017/6/24,2007/5/23,江干,景芳
康恒悦麒美寓,340,38168,89.08,64.32,2017/6/29,2012/12/3,江干,九堡
新坝,270,40426,66.79,1,2017/8/26,2002/7/21,下城,体育场路
宋都阳光国际,358,40489,88.42,64.08,2017/10/7,2012/6/14,江干,九堡
西荡苑桃苑,430,42949,100.12,78.9,2017/10/10,2005/7/20,西湖,文三西路
华瑞湘湖美地,398,29878,133.21,120.52,2017/10/13,2010/4/12,萧山,湘湖
梅苑阁小区,596,51840,114.97,105.31,2017/10/14,2004/3/18,西湖,文教
天寓,798,45671,174.73,133.77,2017/10/18,2009/10/16,滨江,彩虹城
通江桥高层小区,315,44808,70.3,暂无数,2017/10/18,2005/10/13,上城,鼓楼
铭和苑探梅坊,300,33906,88.48,69.97,2017/10/21,2008/1/19,下沙,金沙湖
中兴花园百合苑,550,48703,112.93,97.01,2017/10/26,2007/3/15,滨江,滨江区政府
西河公寓,295,23026,128.12,116.13,2017/10/29,2012/8/24,萧山,萧山市区
十五家园,342,43259,79.06,暂无数,2017/11/25,2009/10/10,下城,丝绸城
庆丰新村,285,57483,49.58,46.33,2017/11/28,2006/5/9,西湖,黄龙
广宇西城美墅,500,58824,85,66.05,2017/12/1,2011/4/26,西湖,申花
濮家东村,290,39142,74.09,66.98,2017/12/2,2010/3/23,江干,闸弄口
三里亭苑二区,280,34684,80.73,暂无数,2017/12/5,2008/10/31,江干,三里亭
锦园小区,290,49573,58.5,暂无数,2017/12/11,2001/2/14,下城,建国北路
东门公寓,350,24972,140.16,129.72,2017/12/20,2001/10/29,萧山,萧山市区
康乐新村,305,39305,77.6,1,2017/12/24,1999/6/22,西湖,文三西路
嘉南公寓小高层,700,42297,165.5,暂无数,2017/12/29,2004/4/8,西湖,文一西路
中兴公寓,340,38554,88.19,暂无数,2018/1/2,2001/12/10,西湖,文三西路
贺田尚城,435,43362,100.32,83.33,2018/1/9,2010/10/21,滨江,浦沿
良渚文化村白鹭郡东,312,30021,103.93,暂无数,2018/1/20,2008/9/10,余杭,良渚
左邻右舍,400,34321,116.55,96.23,2018/1/20,2010/3/4,江干,九堡
新华坊社区,340,40114,84.76,暂无数,2018/1/21,2012/10/26,下城,丝绸城
凤凰南苑,450,48644,92.51,70,2018/1/23,2008/1/14,上城,南星
勤丰小区,239,43095,55.46,46.91,2018/1/29,2006/11/14,拱墅,申花
三里家园一区,370,39658,93.3,84.47,2018/1/30,2010/1/13,下城,三里亭
德胜巷98号,300,38962,77,暂无数,2018/2/27,2002/3/21,拱墅,德胜
下宁巷1号,550,91790,59.92,55.1,2018/2/28,2009/3/13,西湖,学军
翠苑五区,335,41548,80.63,暂无数,2018/2/28,1999/6/8,西湖,翠苑
铭和苑桂雨坊,310,24623,125.9,101.86,2018/3/1,2010/11/16,下沙,金沙湖
大关东一苑,290,36621,79.19,暂无数,2018/3/2,1995/8/31,拱墅,大关
秋涛南苑,345,48923,70.52,61.65,2018/3/2,2009/5/7,上城,南星
蚕花园永宁坊,230,30873,74.5,50.16,2018/3/6,2012/10/31,拱墅,拱宸桥
大关南六苑,190,37439,50.75,暂无数,2018/3/7,2007/8/14,拱墅,大关
天寓,690,50160,137.56,暂无数,2018/3/7,2012/8/14,滨江,彩虹城
流水苑,330,42178,78.24,暂无数,2018/3/9,2000/9/19,下城,流水苑
三里亭苑四区,355,39969,88.82,72.14,2018/3/10,2009/11/1,江干,三里亭
翡翠城,435,34524,126,暂无数,2018/3/12,2015/6/4,余杭,翡翠城
左家新村,340,43170,78.76,暂无数,2018/3/15,2004/3/10,拱墅,湖墅
金隅观澜时代天筑,350,26694,131.12,102.67,2018/3/17,2011/7/22,下沙,沿江南
三里家园一区,275,39983,68.78,59.55,2018/3/18,2007/3/22,下城,三里亭
雅仕苑,330,47896,68.9,暂无数,2018/3/21,2011/3/17,西湖,文一西路
云龙公寓,770,50672,151.96,126.06,2018/3/21,2005/10/21,下城,潮鸣
翠苑四区,405,43441,93.23,暂无数,2018/3/25,2004/3/17,西湖,翠苑
华鼎豪园,338,23837,141.8,暂无数,2018/3/30,2006/12/5,余杭,临平
金厦公寓,335,34272,97.75,1,2018/3/31,2006/12/31,西湖,三墩
白荡海人家,375,57419,65.31,58.77,2018/4/8,2012/8/29,西湖,文教
景芳三区,360,45884,78.46,暂无数,2018/4/9,2008/12/24,江干,景芳
紫玉名府,430,56879,75.6,60.14,2018/4/9,2013/6/19,江干,华家池
山水人家美林泉,510,44737,114,暂无数,2018/4/9,2006/4/26,西湖,文三西路
人和家园,305,24092,126.6,103.88,2018/4/9,2011/9/20,西湖,留下
世贸丽晶城,650,79143,82.13,65.59,2018/4/11,2013/9/4,西湖,九莲
万科魅力之城,300,34420,87.16,71.52,2018/4/15,2013/4/16,江干,九堡
浙大新村,418,64787,64.52,暂无数,2018/4/15,2006/6/24,西湖,黄龙
景芳新五区,368,43087,85.41,暂无数,2018/4/18,2004/4/14,江干,景芳
流水东苑,255,39468,64.61,暂无数,2018/4/20,2002/5/14,下城,流水苑
罗兰春天,315,37318,84.41,暂无数,2018/4/20,2013/5/31,江干,九堡
嘉绿名苑,538,51239,105,暂无数,2018/4/21,2011/5/26,西湖,嘉绿
宋都阳光国际,315,36333,86.7,62.83,2018/4/21,2012/8/28,江干,九堡
北干一苑,325,30298,107.27,100.88,2018/4/26,2010/4/26,萧山,萧山市区
古荡新村西区,325,43155,75.31,69.76,2018/4/29,2010/12/10,西湖,古荡
金色蓝庭,515,57729,89.21,67.95,2018/4/30,2011/11/11,西湖,嘉绿
大关西七苑,215,36677,58.62,54.93,2018/5/1,2010/5/7,拱墅,大关
翡翠城,475,34378,138.17,暂无数,2018/5/3,2012/10/9,余杭,翡翠城
西溪蝶园二期,818,47213,173.26,141.64,2018/5/4,2013/6/7,西湖,西溪
邮电新村,380,70150,54.17,46.85,2018/5/6,1987/8/13,西湖,学军
采荷小区玉荷邨,275,51259,53.65,49.37,2018/5/7,2007/12/27,江干,采荷
广宇上东领地,255,31915,79.9,暂无数,2018/5/7,2011/5/23,江干,丁桥
朝晖六区,302,43398,69.59,65.61,2018/5/8,2009/12/10,下城,朝晖
春江花月,800,61930,129.18,105.2,2018/5/9,2011/12/15,上城,南星
爱丁郡,498,33294,149.58,120.45,2018/5/9,2013/9/6,余杭,翡翠城
庭院深深,218,25346,86.01,73.48,2018/5/10,2014/3/20,余杭,闲林
元都新景公寓,280,31653,88.46,70.26,2018/5/11,2011/3/10,下城,石桥
保利东湾,255,27326,93.32,暂无数,2018/5/12,2012/8/27,下沙,沿江南
耀江文欣苑,860,61702,139.38,暂无数,2018/5/12,2007/8/17,西湖,文教
施家花园,320,42856,74.67,67.62,2018/5/13,2012/7/2,下城,流水苑
亲亲家园三期,420,30535,137.55,暂无数,2018/5/13,2010/5/25,余杭,三墩
紫金公寓,258,42758,60.34,54.51,2018/5/14,2002/9/16,西湖,文三西路
马市街,250,46887,53.32,48.23,2018/5/16,2002/12/29,上城,清泰
贺田尚城,250,48982,51.04,42.34,2018/5/17,2013/4/12,滨江,浦沿
近江家园九园,460,57371,80.18,65.54,2018/5/17,2003/6/11,上城,近江
罗兰春天,335,39763,84.25,66.29,2018/5/18,2013/7/25,江干,九堡
紫金观巷,240,48135,49.86,暂无数,2018/5/18,2003/9/12,上城,清泰
通和都市枫林,303,31959,94.81,暂无数,2018/5/19,2007/7/3,下城,石桥
德信金泊林公寓,360,40646,88.57,暂无数,2018/5/20,2011/7/22,江干,九堡
老浙大横路一弄,340,45443,74.82,68.35,2018/5/21,2009/9/15,上城,潮鸣
庭院深深,210,25000,84,66.27,2018/5/21,2016/7/25,余杭,闲林
广厦天都城天河苑,209,19919,104.93,89.53,2018/5/22,2009/9/10,余杭,星桥
润达花园,270,32593,82.84,暂无数,2018/5/23,2007/5/2,西湖,三墩
大关东七苑,255,43838,58.17,53.63,2018/5/26,2009/4/14,拱墅,大关
城隍牌楼巷,268,48228,55.57,48.6,2018/5/27,2012/9/19,上城,鼓楼
郡原相江公寓,325,36932,88,65.58,2018/5/28,2012/10/18,江干,九堡
郡枫绿园东区,198,31615,62.63,48.32,2018/5/31,2013/5/31,江干,丁桥
中尚橄榄树花园（北区）,270,29538,91.41,81.84,2018/6/1,2010/3/21,余杭,崇贤
野风海天城,340,25446,133.62,107.15,2018/6/2,2010/9/3,下沙,沿江北
绿城紫桂公寓,195,23494,83,暂无数,2018/6/2,2010/12/3,余杭,星桥
丰梅路10-21号,195,23287,83.74,暂无数,2018/6/3,2010/12/9,余杭,临平
东园小区,240,45429,52.83,暂无数,2018/6/3,1999/6/8,下城,建国北路
和平小区,415,48083,86.31,77.4,2018/6/3,2013/6/17,下城,流水苑
金成花园,445,45005,98.88,92.79,2018/6/3,2004/5/25,西湖,文一西路
景芳三区,220,38388,57.31,暂无数,2018/6/4,2003/3/12,江干,景芳
紫金观巷,265,43132,61.44,暂无数,2018/6/5,2000/6/1,上城,清泰
华海园,785,57346,136.89,暂无数,2018/6/6,2006/12/4,西湖,文教
和睦新村,205,41820,49.02,暂无数,2018/6/6,2006/2/9,拱墅,和睦
良渚文化村柳映坊三期,272,30334,89.67,暂无数,2018/6/6,2014/11/25,余杭,良渚
定海西园,320,43414,73.71,暂无数,2018/6/8,2009/5/6,拱墅,拱宸桥
世纪新城西区,643,54189,118.66,97.62,2018/6/10,2009/11/6,西湖,嘉绿
闲林山水紫薇苑,258,28680,89.96,暂无数,2018/6/10,2011/2/21,余杭,闲林
通惠丽港,340,29550,115.06,暂无数,2018/6/11,2009/10/27,萧山,萧山新城区
