小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
晨光绿苑南苑,480,30002,159.99,148.05,2018/8/27,2009/11/30,江干,九堡
嘉利公寓,300,33319,90.04,79.68,2018/9/3,2005/5/29,萧山,萧山新城区
香樟公寓,480,48388,99.2,88.76,2017/8/25,2015/7/22,西湖,文三西路
梅苑阁小区,488,53142,91.83,84.12,2018/7/1,2011/2/8,西湖,文教
凤凰城广场,350,33896,103.26,79.82,2018/9/6,2011/5/23,上城,南星
嘉绿北苑,470,37904,124,110.52,2017/9/23,2014/3/21,西湖,嘉绿
万家花城一期,450,50078,89.86,68.32,2017/10/29,2009/11/6,拱墅,申花
上郡,780,39090,199.54,暂无数,2017/12/7,2012/4/23,西湖,申花
绿城桃源小镇,288,32802,87.8,67.06,2017/12/9,2014/10/30,余杭,小和山
野风海天城,345,24830,138.95,112.76,2017/12/12,2010/4/26,下沙,沿江北
亲亲家园四期,490,36030,136,111.47,2018/3/8,2012/8/1,余杭,三墩
宋都晨光国际,458,30067,152.33,121.33,2018/3/21,2016/3/31,下沙,沿江南
嘉南公寓小高层,615,45055,136.5,暂无数,2018/4/7,2003/7/3,西湖,文一西路
青春坊,160,51102,31.31,27.23,2018/4/7,2012/8/7,下城,长庆
保利东湾,330,31652,104.26,77.16,2018/5/9,2013/7/2,下沙,沿江南
伊萨卡国际城鹭江园,382,23679,161.33,暂无数,2018/5/11,2009/8/17,下沙,沿江北
中大凤栖花园,785,48125,163.12,暂无数,2018/5/11,2003/11/3,下城,潮鸣
名仕家园,700,50360,139,暂无数,2018/5/12,2012/5/17,西湖,文一西路
绿洲花园,860,38944,220.83,170.28,2018/5/19,2005/7/15,下城,流水苑
里东山弄,560,72898,76.82,暂无数,2018/7/1,2007/7/26,西湖,黄龙
浅水湾城市花园,880,51692,170.24,暂无数,2017/12/7,2006/5/30,拱墅,湖墅
金田花园,475,38025,124.92,110,2018/5/23,2005/6/6,西湖,文三西路
天阳美林湾,570,38980,146.23,暂无数,2018/6/16,2009/5/6,拱墅,申花
亲亲家园三期,470,31811,147.75,暂无数,2017/11/21,2012/5/9,余杭,三墩
时代长岛之春,410,29297,139.95,124.57,2017/12/19,2005/6/7,滨江,浦沿
金浦明苑东区,500,27146,184.19,152.92,2018/2/4,2010/1/6,萧山,萧山新城区
德信早城,405,36333,111.47,97.65,2018/4/9,2012/7/29,下沙,金沙湖
寰宇天下,1280,49765,257.21,208.98,2018/6/15,2012/9/11,滨江,滨江区政府
坤和和家园,800,43016,185.98,157.24,2018/7/3,2013/9/17,西湖,西溪
亲亲家园二期,407,29737,136.87,暂无数,2018/7/15,2007/9/14,余杭,三墩
富力西溪悦墅,687,52276,131.42,南 ,2018/8/3,2018/8/2,余杭,未来科技城
大塘新村,345,40955,84.24,暂无数,2018/8/17,2000/10/15,拱墅,湖墅
左岸花园,530,34869,152,暂无数,2018/8/24,2004/9/7,拱墅,拱宸桥
锦园小区,240,41408,57.96,暂无数,2018/8/25,2012/8/29,下城,建国北路
高教新村,385,51320,75.02,65.59,2018/8/27,2009/4/23,西湖,文一西路
东方俊园,378,21492,175.88,145.49,2018/1/31,2011/5/16,余杭,临平
濮家新村,206,44871,45.91,42.99,2018/4/13,2001/7/2,江干,闸弄口
大塘新村,170,40758,41.71,34.16,2018/4/29,2003/5/28,拱墅,湖墅
贺田尚城,385,39601,97.22,84.55,2018/5/1,2012/7/4,滨江,浦沿
亲亲家园四期,395,42935,92,暂无数,2018/7/14,2006/2/4,余杭,三墩
都市阳光华苑,180,29470,61.08,暂无数,2018/7/30,2010/8/10,西湖,良渚
新华坊社区,492,44981,109.38,暂无数,2018/8/18,2000/9/14,下城,丝绸城
华苑公寓,437,61724,70.8,暂无数,2018/8/21,2005/1/20,西湖,文一西路
宁和弄,125,28909,43.24,暂无数,2018/8/22,2006/8/15,拱墅,半山
西荡苑桃苑,290,48585,59.69,52.59,2018/8/22,2012/8/31,西湖,文三西路
赵家花苑,165,27482,60.04,暂无数,2018/8/27,2008/7/8,江干,丁桥
坤和西溪里璞园,450,50494,89.12,71.76,2018/7/4,2010/6/28,西湖,西溪
永康苑,168,39088,42.98,暂无数,2018/7/12,2001/7/17,下城,建国北路
亲亲家园四期,310,36215,85.6,暂无数,2018/7/30,2009/8/14,余杭,三墩
清波街84号,440,64403,68.32,61.88,2018/7/30,2016/2/5,上城,清波
蚕花园永兴坊,230,34329,67,59.18,2018/8/16,2013/5/9,拱墅,拱宸桥
长明寺巷小区,279,41562,67.13,暂无数,2018/9/2,2000/5/11,上城,潮鸣
名城燕园,460,52404,87.78,70.83,2018/9/2,2010/11/1,拱墅,桥西
世纪坊,412,53465,77.06,暂无数,2018/9/6,2005/5/30,上城,近江
名城燕园,462,52051,88.76,73.78,2018/9/7,2010/11/11,拱墅,桥西
香樟公寓,450,51453,87.46,暂无数,2018/9/7,2008/7/30,西湖,文三西路
德嘉金沙阳光,350,27408,127.7,99.68,2018/9/8,2013/2/7,下沙,金沙湖
闲林山水丹枫苑,330,22290,148.05,暂无数,2018/9/12,2009/4/5,余杭,闲林
